Pfeiffer Vacuum Technology,PFV.F,Frankfurt Stock Exchange,Pfeiffer Vacuum Technology Ag (PFV_X),FSE/PFV_X,PFEIFF_DEU,95100
Qiagen N.v.,QIA.F,Frankfurt Stock Exchange,Qiagen N.v. (QIA_X),FSE/QIA_X,QGEN,88671
Rational AG,RAA.F,Frankfurt Stock Exchange,Rational Ag (RAA_X),FSE/RAA_X,RAT_DEU,106469
ProSiebenSat.1 Media,PSM.F,Frankfurt Stock Exchange,Prosiebensat.1 Media Ag (PSM_X),FSE/PSM_X,PBSF Y,97477
Psi AG,PSAN.F,Frankfurt Stock Exchange,Psi Aktiengesellschaft (PSAN_X),FSE/PSAN_X,PSI_DEU,97832
RWE AG,RWE.F,Frankfurt Stock Exchange,Rwe Ag St (RWE_X),FSE/RWE_X,RWEO Y,7099
Sma Solar Technology,S92.F,Frankfurt Stock Exchange,Sma Solar Technology Ag (S92_X),FSE/S92_X,SMTG F,126495
Puma AG,PUM.F,Frankfurt Stock Exchange,Puma Se (PUM_X),FSE/PUM_X,PMMA F,70299
Rheinmetall AG,RHM.F,Frankfurt Stock Exchange,Rheinmetall Ag (RHM_X),FSE/RHM_X,RNMB Y,15526
RTL Group,RRTL.F,Frankfurt Stock Exchange,Rtl Group S.a. (RRTL_X),FSE/RRTL_X,RGLX Y,93310
Stratec Biomedical,SBS.F,Frankfurt Stock Exchange,Stratec Biomedical Ag (SBS_X),FSE/SBS_X,SBMA F,106478
QSC AG,QSC.F,Frankfurt Stock Exchange,Qsc Ag (QSC_X),FSE/QSC_X,QSC_DEU,100344
Volkswagen AG,VOW3.F,Frankfurt Stock Exchange,Volkswagen Ag Vz (VOW3_X),FSE/VOW3_X,VLKA Y,8830
SAP SE,SAP.F,Frankfurt Stock Exchange,Sap Ag (SAP_X),FSE/SAP_X,SAP,66854
Stada Arzneimittel,SAZ.F,Frankfurt Stock Exchange,Stada Arzneimittel Ag (SAZ_X),FSE/SAZ_X,STADA_DEU,100779
SAF Holland,SFQ.F,Frankfurt Stock Exchange,Saf-holland S.a. (SFQ_X),FSE/SFQ_X,SFHL F,127176
Siemens AG,SIE.F,Frankfurt Stock Exchange,Siemens Ag (SIE_X),FSE/SIE_X,SIEG Y,7576
Sartorius AG,SRT3.F,Frankfurt Stock Exchange,Sartorius Ag Vz (SRT3_X),FSE/SRT3_X,SART_DEU,91904
Koenig & Bauer,SKB.F,Frankfurt Stock Exchange,Koenig & Bauer Ag (SKB_X),FSE/SKB_X,KOEB F,63586
Software AG,SOW.F,Frankfurt Stock Exchange,Software Ag (SOW_X),FSE/SOW_X,STWR Y,99215
Salzgitter AG,SZG.F,Frankfurt Stock Exchange,Salzgitter Ag (SZG_X),FSE/SZG_X,SZGP Y,32935
Suedzucker,SZU.F,Frankfurt Stock Exchange,Südzucker Ag (SZU_X),FSE/SZU_X,SUED_DEU,15771
TUI AG,TUI1.F,Frankfurt Stock Exchange,Tui Ag (TUI1_X),FSE/TUI1_X,TUIF Y,21230
United Internet AG,UTDI.F,Frankfurt Stock Exchange,United Internet Ag (UTDI_X),FSE/UTDI_X,UDIR F,97804
Vossloh AG,VOS.F,Frankfurt Stock Exchange,Vossloh Ag (VOS_X),FSE/VOS_X,VOSS Y,85478
Axel Springer AG,SPR.F,Frankfurt Stock Exchange,Axel Springer Se (SPR_X),FSE/SPR_X,AXEL_DEU,21220
